ts,cpuA%,cpuB%,cpuFleet%,cpuPG%,hikA_act,hikA_pend,hikB_act,hikB_pend,pg_commit_per_s,active_waits
20:58:34,71,57,32,66,2.0,0.0,0.0,0.0,2133,""
20:58:44,73,58,32,67,1.0,0.0,0.0,0.0,2232,""
20:58:55,73,57,32,66,0.0,0.0,0.0,0.0,2249,""
20:59:05,73,58,33,66,1.0,0.0,1.0,0.0,2194,""
20:59:16,73,58,32,67,2.0,0.0,0.0,0.0,2250,""
20:59:26,73,58,32,66,1.0,0.0,0.0,0.0,2166,""
20:59:37,73,57,32,67,1.0,0.0,0.0,0.0,2296,""
20:59:47,72,57,31,66,1.0,0.0,0.0,0.0,2187,""
20:59:58,71,56,30,64,0.0,0.0,0.0,0.0,2215,""
21:00:08,69,54,30,64,1.0,0.0,0.0,0.0,1911,""
21:00:19,73,59,32,68,0.0,0.0,0.0,0.0,2174,""
21:00:29,74,59,33,70,0.0,0.0,0.0,0.0,2234,""
21:00:40,77,60,34,72,4.0,0.0,0.0,0.0,2106,""
21:00:50,75,60,33,71,1.0,0.0,0.0,0.0,2304,""
21:01:00,73,58,32,68,0.0,0.0,0.0,0.0,2126,""
21:01:11,76,60,34,74,4.0,0.0,1.0,0.0,2236,""
21:01:21,76,61,34,74,1.0,0.0,0.0,0.0,2012,""
21:01:32,75,59,33,72,1.0,0.0,0.0,0.0,2075,""
21:01:42,75,59,33,71,0.0,0.0,4.0,0.0,2285,""
21:01:53,76,60,33,71,1.0,0.0,0.0,0.0,2092,""
21:02:03,74,59,32,69,0.0,0.0,2.0,0.0,2313,""
21:02:14,74,59,33,68,0.0,0.0,1.0,0.0,2142,""
21:02:24,75,59,33,70,1.0,0.0,0.0,0.0,2209,""
21:02:35,77,60,34,74,0.0,0.0,1.0,0.0,2141,""
21:02:45,76,59,33,72,0.0,0.0,0.0,0.0,2090,""
21:02:55,76,59,33,71,2.0,0.0,1.0,0.0,2243,""
21:03:06,75,60,33,72,0.0,0.0,4.0,0.0,2087,""
21:03:16,76,59,33,72,5.0,0.0,3.0,0.0,2169,""
21:03:27,76,60,33,73,1.0,0.0,0.0,0.0,2111,""
21:03:37,74,59,33,69,5.0,0.0,0.0,0.0,2208,""
21:03:48,75,59,33,71,0.0,0.0,0.0,0.0,2177,""
21:03:58,76,60,33,74,0.0,0.0,1.0,0.0,2043,""
21:04:09,77,61,34,74,1.0,0.0,0.0,0.0,2173,""
21:04:19,77,60,34,73,6.0,0.0,0.0,0.0,2101,""
21:04:30,74,59,33,70,0.0,0.0,0.0,0.0,2233,""
21:04:40,74,58,32,88,0.0,0.0,0.0,0.0,2202,""
21:04:50,74,59,32,50,2.0,0.0,0.0,0.0,2242,""
21:05:01,73,59,32,70,1.0,0.0,0.0,0.0,2212,""
21:05:11,73,58,32,69,0.0,0.0,0.0,0.0,2133,""
21:05:22,76,60,33,72,1.0,0.0,0.0,0.0,2190,""
21:05:32,76,60,33,72,0.0,0.0,1.0,0.0,2138,""
21:05:43,74,57,32,67,0.0,0.0,1.0,0.0,2250,""
21:05:53,75,59,33,70,0.0,0.0,0.0,0.0,2207,""
21:06:04,75,60,32,71,0.0,0.0,0.0,0.0,2164,""
21:06:14,75,59,33,70,0.0,0.0,0.0,0.0,2221,""
21:06:25,73,59,32,69,0.0,0.0,2.0,0.0,2164,""
21:06:35,75,58,32,70,1.0,0.0,0.0,0.0,2250,""
21:06:45,73,57,31,68,0.0,0.0,0.0,0.0,2195,""
21:06:56,76,60,33,72,4.0,0.0,1.0,0.0,2169,""
21:07:06,75,59,33,69,3.0,0.0,1.0,0.0,2184,""
21:07:17,75,60,33,69,0.0,0.0,1.0,0.0,2203,""
21:07:27,76,60,34,73,0.0,0.0,0.0,0.0,2123,""
21:07:38,73,57,32,66,4.0,0.0,0.0,0.0,2199,""
21:07:48,76,58,32,67,0.0,0.0,2.0,0.0,2278,""
21:07:59,74,59,32,68,0.0,0.0,0.0,0.0,2231,""
21:08:09,74,59,33,71,0.0,0.0,0.0,0.0,2166,""
21:08:20,76,58,32,70,0.0,0.0,0.0,0.0,2173,""
21:08:30,74,59,33,70,0.0,0.0,0.0,0.0,2184,""
21:08:41,74,57,32,90,2.0,0.0,0.0,0.0,2262,""
