ts,cpuA%,cpuB%,cpuFleet%,cpuPG%,hikA_act,hikA_pend,hikB_act,hikB_pend,pg_commit_per_s,active_waits
22:14:10,69,51,0,62,0.0,0.0,0.0,0.0,2136,""
22:14:20,67,52,0,63,2.0,0.0,0.0,0.0,2225,""
22:14:31,70,54,0,63,0.0,0.0,0.0,0.0,2171,""
22:14:41,67,51,0,62,1.0,0.0,0.0,0.0,2228,""
22:14:52,68,53,0,62,2.0,0.0,0.0,0.0,2217,""
22:15:02,65,54,0,62,0.0,0.0,0.0,0.0,2213,""
22:15:13,63,53,0,62,0.0,0.0,1.0,0.0,2253,""
22:15:23,63,51,0,63,2.0,0.0,0.0,0.0,2116,""
22:15:33,66,52,0,63,0.0,0.0,0.0,0.0,2284,""
22:15:44,57,43,0,59,0.0,0.0,0.0,0.0,1937,""
22:15:54,61,47,0,61,1.0,0.0,2.0,0.0,2059,""
22:16:05,64,49,0,62,0.0,0.0,0.0,0.0,2240,""
22:16:15,66,51,0,63,2.0,0.0,0.0,0.0,2180,""
22:16:26,66,52,0,64,0.0,0.0,4.0,0.0,2252,""
22:16:36,67,52,0,63,2.0,0.0,1.0,0.0,2190,""
22:16:47,67,52,0,63,0.0,0.0,3.0,0.0,2260,""
22:16:57,67,52,0,64,1.0,0.0,0.0,0.0,2232,""
22:17:08,67,51,0,63,0.0,0.0,0.0,0.0,2198,""
22:17:18,67,52,0,64,1.0,0.0,2.0,0.0,2265,""
22:17:28,67,52,0,64,0.0,0.0,0.0,0.0,2214,""
22:17:39,66,51,0,63,3.0,0.0,0.0,0.0,2220,""
22:17:49,66,52,0,63,0.0,0.0,3.0,0.0,2188,""
22:18:00,67,52,0,63,0.0,0.0,0.0,0.0,2307,""
22:18:10,63,49,0,63,0.0,0.0,0.0,0.0,2162,""
22:18:21,66,50,0,64,0.0,0.0,0.0,0.0,2188,""
22:18:31,66,52,0,63,0.0,0.0,0.0,0.0,2282,""
22:18:42,66,52,0,63,0.0,0.0,0.0,0.0,2165,""
22:18:52,66,52,0,64,2.0,0.0,0.0,0.0,2273,""
22:19:03,66,52,0,63,2.0,0.0,0.0,0.0,2192,""
22:19:13,66,51,0,63,1.0,0.0,3.0,0.0,2260,""
22:19:23,68,53,0,64,4.0,0.0,0.0,0.0,2229,""
22:19:34,66,52,0,63,0.0,0.0,0.0,0.0,2182,""
22:19:44,66,52,0,63,0.0,0.0,0.0,0.0,2284,""
22:19:55,65,51,0,63,0.0,0.0,3.0,0.0,2178,""
22:20:05,58,46,0,63,0.0,0.0,0.0,0.0,2144,""
22:20:16,61,47,0,63,2.0,0.0,0.0,0.0,2156,""
22:20:26,67,51,0,64,0.0,0.0,1.0,0.0,2190,""
22:20:37,66,50,0,63,1.0,0.0,0.0,0.0,2259,""
22:20:47,64,49,0,63,0.0,0.0,0.0,0.0,2161,""
22:20:58,72,56,0,71,1.0,0.0,0.0,0.0,2162,""
22:21:08,62,49,0,62,1.0,0.0,3.0,0.0,2112,""
22:21:18,63,50,0,62,3.0,0.0,1.0,0.0,2188,""
22:21:29,68,51,0,64,1.0,0.0,0.0,0.0,2301,""
22:21:39,66,51,0,63,0.0,0.0,1.0,0.0,2133,""
22:21:50,66,52,0,63,0.0,0.0,0.0,0.0,2277,""
22:22:00,66,52,0,64,0.0,0.0,1.0,0.0,2197,""
22:22:11,65,50,0,63,0.0,0.0,1.0,0.0,2240,""
22:22:21,67,52,0,90,2.0,0.0,0.0,0.0,2238,""
22:22:32,68,53,0,39,0.0,0.0,0.0,0.0,2236,""
22:22:42,67,52,0,64,0.0,0.0,0.0,0.0,2243,""
22:22:53,64,50,0,63,2.0,0.0,0.0,0.0,2143,""
22:23:03,64,50,0,62,0.0,0.0,0.0,0.0,2213,""
22:23:13,64,50,0,62,1.0,0.0,2.0,0.0,2247,""
22:23:24,67,52,0,65,0.0,0.0,3.0,0.0,2205,""
22:23:34,67,51,0,63,1.0,0.0,0.0,0.0,2242,""
22:23:45,67,52,0,63,1.0,0.0,2.0,0.0,2220,""
22:23:55,65,51,0,62,0.0,0.0,1.0,0.0,2214,""
22:24:06,67,52,0,63,0.0,0.0,0.0,0.0,2211,""
22:24:16,106,83,0,237,0.0,0.0,5.0,0.0,1501,""
22:24:27,116,88,0,305,5.0,0.0,3.0,0.0,1249,""
22:24:37,106,82,0,286,0.0,0.0,2.0,0.0,1290,""
22:24:48,102,80,0,281,2.0,0.0,2.0,0.0,1288,""
22:24:59,100,78,0,280,0.0,0.0,0.0,0.0,1297,""
22:25:09,98,77,0,280,6.0,0.0,0.0,0.0,1288,""
22:25:20,99,78,0,293,3.0,0.0,4.0,0.0,1278,""
22:25:31,110,84,0,283,5.0,0.0,1.0,0.0,1280,""
22:25:41,101,79,0,279,6.0,0.0,0.0,0.0,1297,""
22:25:52,99,78,0,278,1.0,0.0,5.0,0.0,1289,""
22:26:03,101,79,0,278,2.0,0.0,4.0,0.0,1290,""
22:26:13,99,78,0,278,0.0,0.0,1.0,0.0,1303,""
22:26:24,106,82,0,345,0.0,0.0,6.0,0.0,1276,""
22:26:34,105,81,0,236,1.0,0.0,5.0,0.0,1304,""
22:26:45,98,78,0,276,0.0,0.0,0.0,0.0,1267,""
22:26:56,99,78,0,277,5.0,0.0,1.0,0.0,1301,""
22:27:06,99,78,0,278,1.0,0.0,2.0,0.0,1285,""
22:27:17,101,79,0,279,0.0,0.0,2.0,0.0,1300,""
22:27:28,110,85,0,305,3.0,0.0,0.0,0.0,1280,""
22:27:38,102,80,0,280,5.0,0.0,5.0,0.0,1271,""
22:27:49,98,77,0,277,6.0,0.0,0.0,0.0,1316,""
22:28:00,99,78,0,278,2.0,0.0,3.0,0.0,1268,""
22:28:10,99,77,0,277,0.0,0.0,5.0,0.0,1300,""
22:28:21,104,81,0,310,3.0,0.0,2.0,0.0,1285,""
22:28:32,116,88,0,282,6.0,0.0,0.0,0.0,1305,""
22:28:42,99,78,0,278,6.0,0.0,1.0,0.0,1293,""
22:28:53,99,78,0,277,3.0,0.0,3.0,0.0,1274,""
22:29:03,100,78,0,279,8.0,0.0,3.0,0.0,1321,""
22:29:14,98,77,0,277,7.0,0.0,4.0,0.0,1246,""
22:29:25,109,84,0,356,2.0,0.0,1.0,0.0,1301,""
22:29:35,107,83,0,237,4.0,0.0,3.0,0.0,1278,""
22:29:46,99,77,0,280,4.0,0.0,4.0,0.0,1294,""
22:29:57,102,80,0,281,0.0,0.0,2.0,0.0,1303,""
22:30:07,100,78,0,279,0.0,0.0,3.0,0.0,1287,""
22:30:18,99,78,0,277,7.0,0.0,0.0,0.0,1317,""
22:30:29,119,89,0,400,5.0,0.0,4.0,0.0,1263,""
22:30:39,103,80,0,191,0.0,0.0,2.0,0.0,1305,""
22:30:50,98,77,0,278,11.0,0.0,1.0,0.0,1261,""
22:31:00,100,78,0,280,8.0,0.0,4.0,0.0,1306,""
22:31:11,100,78,0,278,4.0,0.0,2.0,0.0,1274,""
22:31:22,106,82,0,318,7.0,0.0,2.0,0.0,1302,""
22:31:32,118,91,0,280,1.0,0.0,2.0,0.0,1299,""
22:31:43,99,78,0,280,0.0,0.0,4.0,0.0,1263,""
22:31:54,99,78,0,282,2.0,0.0,3.0,0.0,1301,""
22:32:04,101,79,0,283,7.0,0.0,3.0,0.0,1255,""
22:32:15,114,86,0,291,0.0,0.0,0.0,0.0,1326,""
22:32:26,115,88,0,368,2.0,0.0,1.0,0.0,1291,""
22:32:36,114,87,0,238,0.0,0.0,4.0,0.0,1279,""
22:32:47,100,79,0,281,0.0,0.0,0.0,0.0,1292,""
22:32:58,102,80,0,282,1.0,0.0,2.0,0.0,1282,""
22:33:08,101,79,0,283,1.0,0.0,4.0,0.0,1304,""
22:33:19,103,80,0,285,2.0,0.0,2.0,0.0,1283,""
22:33:30,126,94,0,426,2.0,0.0,1.0,0.0,1280,""
22:33:40,109,85,0,188,0.0,0.0,3.0,0.0,1299,""
22:33:51,101,79,0,283,2.0,0.0,4.0,0.0,1283,""
22:34:02,104,81,0,290,5.0,0.0,0.0,0.0,1286,""
22:34:13,104,81,0,288,1.0,0.0,4.0,0.0,1292,""
22:34:23,114,87,0,345,4.0,0.0,3.0,0.0,1283,""
22:34:34,123,93,0,270,1.0,0.0,0.0,0.0,1268,""
22:34:45,96,75,0,276,5.0,0.0,2.0,0.0,992,""
22:34:56,179,139,0,-303,16.0,0.0,10.0,0.0,1661,""
22:35:07,167,130,0,486,1.0,0.0,2.0,0.0,1692,""
22:35:19,199,156,0,596,8.0,0.0,7.0,0.0,1992,""
22:35:30,192,149,0,119,3.0,0.0,6.0,0.0,1859,""
22:35:41,194,149,0,702,16.0,0.0,4.0,0.0,1830,""
22:35:52,200,158,0,387,11.0,0.0,1.0,0.0,2033,""
22:36:03,199,156,0,594,6.0,0.0,7.0,0.0,1999,""
22:36:15,189,146,0,560,9.0,0.0,5.0,0.0,1801,""
22:36:26,195,152,0,666,5.0,0.0,5.0,0.0,1846,""
22:36:37,191,147,0,694,10.0,0.0,7.0,0.0,1768,""
22:36:48,199,154,0,420,10.0,0.0,5.0,0.0,1942,""
22:36:59,198,154,0,-106,13.0,0.0,6.0,0.0,1987,""
22:37:10,197,154,0,-1459,1.0,0.0,6.0,0.0,1971,""
22:37:21,197,153,0,619,13.0,0.0,3.0,0.0,1949,""
22:37:33,191,148,0,152,14.0,0.0,6.0,0.0,1769,""
22:37:44,195,151,0,-2233,19.0,0.0,9.0,0.0,1832,""
22:37:55,199,156,0,-871,12.0,0.0,0.0,0.0,1994,""
22:38:06,201,156,0,-27,8.0,0.0,3.0,0.0,2003,""
22:38:17,199,154,0,595,2.0,0.0,5.0,0.0,1989,""
22:38:28,194,148,0,684,1.0,0.0,7.0,0.0,1853,""
22:38:39,194,150,0,-5412,3.0,0.0,3.0,0.0,1800,""
22:38:51,198,155,0,-1778,12.0,0.0,4.0,0.0,1998,""
22:39:02,199,156,0,597,6.0,0.0,6.0,0.0,1975,""
22:39:13,200,156,0,-3252,8.0,0.0,5.0,0.0,1987,""
22:39:24,196,153,0,258,8.0,0.0,10.0,0.0,1897,""
22:39:35,193,148,0,706,10.0,0.0,11.0,0.0,1797,""
22:39:47,195,149,0,-1575,9.0,0.0,4.0,0.0,1917,""
22:39:58,200,156,0,600,0.0,0.0,4.0,0.0,1988,""
22:40:09,200,156,0,-1915,14.0,0.0,11.0,0.0,1988,""
22:40:20,197,153,0,603,7.0,0.0,14.0,0.0,1976,""
22:40:31,194,150,0,715,11.0,0.0,4.0,0.0,1776,""
22:40:43,194,151,0,474,5.0,0.0,10.0,0.0,1877,""
22:40:54,201,157,0,605,4.0,0.0,6.0,0.0,1991,""
22:41:05,198,156,0,595,7.0,0.0,4.0,0.0,1975,""
22:41:16,199,156,0,-2442,6.0,0.0,5.0,0.0,1982,""
22:41:27,192,148,0,669,6.0,0.0,9.0,0.0,1876,""
22:41:38,194,149,0,707,3.0,0.0,1.0,0.0,1796,""
22:41:49,197,154,0,-2154,6.0,0.0,7.0,0.0,1951,""
22:42:01,198,153,0,592,6.0,0.0,6.0,0.0,1974,""
22:42:12,199,155,0,597,8.0,0.0,5.0,0.0,2002,""
22:42:23,180,140,0,575,18.0,0.0,12.0,0.0,1778,""
22:42:34,164,127,0,608,17.0,0.0,4.0,0.0,1603,""
22:42:45,201,157,0,466,12.0,0.0,2.0,0.0,1946,""
22:42:56,199,156,0,599,6.0,0.0,4.0,0.0,2020,""
22:43:08,201,158,0,606,15.0,0.0,4.0,0.0,1995,""
22:43:19,198,156,0,596,6.0,0.0,7.0,0.0,2004,""
22:43:30,187,146,0,679,13.0,0.0,3.0,0.0,1774,""
22:43:41,169,129,0,406,2.0,0.0,1.0,0.0,1660,""
22:43:52,163,126,0,474,11.0,0.0,7.0,0.0,1698,""
22:44:03,158,122,0,459,10.0,0.0,10.0,0.0,1718,""
22:44:14,198,153,0,591,5.0,0.0,2.0,0.0,1993,""
22:44:25,191,149,0,643,16.0,0.0,8.0,0.0,1921,""
22:44:36,193,149,0,708,15.0,0.0,8.0,0.0,1823,""
22:44:48,197,153,0,427,4.0,0.0,10.0,0.0,2003,""
22:44:59,197,154,0,589,13.0,0.0,7.0,0.0,2040,""
22:45:10,198,155,0,594,15.0,0.0,2.0,0.0,2036,""
22:45:22,125,96,0,443,22.0,0.0,8.0,0.0,1130,""
22:45:34,217,167,0,836,29.0,0.0,10.0,0.0,1865,""
22:45:47,221,170,0,863,27.0,0.0,8.0,0.0,2135,""
22:45:58,235,181,0,589,23.0,0.0,10.0,0.0,2173,""
22:46:10,228,176,0,763,21.0,0.0,12.0,0.0,2295,""
22:46:22,230,179,0,802,32.0,2.0,7.0,0.0,2295,""
22:46:34,228,176,0,882,16.0,0.0,9.0,0.0,2093,""
22:46:46,228,176,0,668,30.0,0.0,17.0,0.0,2143,""
22:46:58,233,181,0,783,21.0,0.0,11.0,0.0,2343,""
22:47:10,237,185,0,-171,22.0,0.0,9.0,0.0,2321,""
22:47:22,231,180,0,806,20.0,0.0,12.0,0.0,2317,""
22:47:34,228,177,0,885,23.0,0.0,12.0,0.0,2159,""
22:47:46,228,177,0,886,30.0,2.0,12.0,0.0,2149,""
22:47:58,232,181,0,-3162,28.0,0.0,12.0,0.0,2266,""
22:48:10,229,178,0,768,25.0,0.0,4.0,0.0,2281,""
22:48:22,234,182,0,815,25.0,0.0,11.0,0.0,2337,""
22:48:34,229,177,0,890,19.0,0.0,7.0,0.0,2218,""
22:48:46,231,179,0,687,18.0,0.0,10.0,0.0,2188,""
22:48:58,229,179,0,766,25.0,0.0,14.0,0.0,2274,""
22:49:09,220,172,0,745,12.0,0.0,15.0,0.0,2269,""
22:49:21,231,180,0,-715,17.0,0.0,10.0,0.0,2324,""
22:49:33,229,177,0,-2005,29.0,1.0,15.0,0.0,2155,""
22:49:45,225,174,0,-544,32.0,4.0,16.0,0.0,2126,""
22:49:57,220,171,0,-475,21.0,0.0,14.0,0.0,2222,""
22:50:09,232,181,0,783,22.0,0.0,12.0,0.0,2329,""
22:50:21,233,182,0,-2960,23.0,0.0,14.0,0.0,2347,""
22:50:33,219,168,0,865,23.0,0.0,9.0,0.0,2118,""
22:50:45,233,181,0,-316,26.0,0.0,13.0,0.0,2180,""
22:50:57,235,184,0,794,27.0,0.0,15.0,0.0,2327,""
22:51:09,231,181,0,780,30.0,5.0,4.0,0.0,2318,""
22:51:21,210,160,0,-1436,27.0,0.0,14.0,0.0,2125,""
22:51:33,231,178,0,892,32.0,2.0,8.0,0.0,2092,""
22:51:45,223,173,0,859,25.0,0.0,15.0,0.0,2149,""
22:51:57,231,179,0,586,24.0,0.0,9.0,0.0,2252,""
22:52:09,217,168,0,-1227,22.0,0.0,12.0,0.0,2326,""
22:52:21,237,186,0,813,23.0,0.0,8.0,0.0,2353,""
22:52:33,227,178,0,891,18.0,0.0,10.0,0.0,2190,""
22:52:45,232,180,0,895,21.0,1.0,7.0,0.0,2119,""
22:52:56,216,169,0,535,22.0,0.0,13.0,0.0,2263,""
22:53:08,232,181,0,783,24.0,0.0,12.0,0.0,2355,""
22:53:21,235,185,0,814,16.0,0.0,13.0,0.0,2403,""
22:53:32,227,177,0,-2302,9.0,0.0,12.0,0.0,2118,""
22:53:45,206,157,0,824,31.0,2.0,10.0,0.0,2049,""
22:53:57,240,186,0,610,16.0,0.0,12.0,0.0,2207,""
22:54:09,236,185,0,786,26.0,0.0,15.0,0.0,2258,""
22:54:21,226,176,0,768,32.0,9.0,21.0,0.0,2240,""
22:54:33,212,164,0,830,18.0,0.0,10.0,0.0,2107,""
22:54:45,232,180,0,690,22.0,0.0,16.0,0.0,2137,""
22:54:56,231,181,0,768,21.0,0.0,11.0,0.0,2297,""
22:55:08,235,183,0,783,31.0,2.0,12.0,0.0,2325,""
22:55:20,219,170,0,739,24.0,0.0,13.0,0.0,2259,""
22:55:32,223,172,0,872,19.0,0.0,11.0,0.0,2175,""
22:55:44,232,180,0,890,0.0,0.0,0.0,0.0,2151,""
22:55:55,22,17,0,-135,0.0,0.0,0.0,0.0,107,""
22:56:05,0,0,0,1,0.0,0.0,0.0,0.0,5,""
